,KS_score,GS76_score,rank_KS,rank_GS76,consensus_rank,emt_group
F829,-0.16242091242091242,1.2903950707410914,1086.5,1728.0,1407.25,E
F830,0.07080419580419581,0.3065970815020691,1713.0,1489.0,1601.0,Hybrid
F831,-0.2440892440892441,5.003151923594324,588.5,2578.0,1583.25,Hybrid
F832,-0.29453879453879456,7.9749415887188135,342.5,3055.0,1698.75,Hybrid
F833,-0.15168165168165168,1.494077257327639,1167.0,1778.0,1472.5,E
F834,-0.15663503163503165,6.154380022648361,1122.0,2811.0,1966.5,M
F835,-0.4152097902097902,12.167796865590248,75.0,3257.0,1666.0,Hybrid
F836,0.10739260739260739,-3.8804836768647846,2036.5,682.0,1359.25,E
F837,0.1272061272061272,-1.358188221929339,2285.5,1109.0,1697.25,Hybrid
F838,0.1463952713952714,-1.689140100169908,2499.5,1053.0,1776.25,M
F839,0.13761238761238762,-1.1914511587366619,2413.5,1141.0,1777.25,M
